id,label,comment,domains,ranges
cookTime,Cook Time,"The time it takes to actually cook the dish, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 duration format</a>.",Recipe,Duration
encodingFormat,Encoding Format,"mp3, mpeg4, etc.",MediaObject,Text
caption,Caption,The caption for this object.,VideoObject ImageObject,Text
sugarContent,Sugar Content,The number of grams of sugar.,NutritionInformation,Mass
itemOffered,Item Offered,The item being sold.,Offer,Product
embedURL,Embed URL,"A URL pointing to a player for a specific video. In general, this is the information in the <code>src</code> element of an <code>embed</code> tag and should not be the same as the content of the <code>loc</code> tag.",MediaObject,Text
startDate,Start Date,"The start date and time of the event (in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 date format</a>).",TVSeason Event TVSeries,Date
isbn,ISBN,The ISBN of the book.,Book,Text
image,Image,URL of an image of the item.,Thing,URL
birthDate,Birth Date,Date of birth.,Person,Date
faxNumber,Fax Number,The fax number.,Organization ContactPoint Place Person,Text
price,Price,The offer price of the product.,Offer,Number Text
aggregateRating,Aggregate Rating,"The overall rating, based on a collection of reviews or ratings, of the item.",Organization Product CreativeWork Place Offer,AggregateRating
contactType,Contact Type,"A person or organization can have different contact points, for different purposes. For example, a sales contact point, a PR contact point and so on. This property is used to specify the kind of contact point.",ContactPoint,Text
articleSection,Article Section,"Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.",Article,Text
musicGroupMember,Music Group Member,"A member of the music group—for example, John, Paul, George, or Ringo.",MusicGroup,Person
spouse,Spouse,The person's spouse.,Person,Person
sodiumContent,Sodium Content,The number of milligrams of sodium.,NutritionInformation,Mass
servingSize,Serving Size,"The serving size, in terms of the number of volume or mass",NutritionInformation,Text
highPrice,High Price,The highest price of all offers available.,AggregateOffer,Number Text
bookEdition,Book Edition,The edition of the book.,Book,Text
width,Width,The width of the media object.,MediaObject,Distance
requiresSubscription,Requires Subscription,Indicates if use of the media require a subscription  (either paid or free). Allowed values are <code>yes</code> or <code>no</code>.,MediaObject,Boolean
editor,Editor,Editor for this content.,CreativeWork,Person
numberOfEpisodes,Number of Episodes,The number of episodes in this season or series.,TVSeason TVSeries,Number
blogPosts,Blog Posts,The postings that are part of this blog,Blog,BlogPosting
nutrition,Nutrition,Nutrition information about the recipe.,Recipe,NutritionInformation
knows,Knows,The most generic bi-directional social/work relation.,Person,Person
publisher,Publisher,The publisher of the creative work.,CreativeWork,Organization
brand,Brand,The brand of the product.,Product,Organization
partOfTVSeries,Part of TV Series,The TV series to which this episode or season belongs.,TVEpisode TVSeason,TVSeries
interactionCount,Interaction Count,"A count of a specific user interactions with this item—for example, <code>20 UserLikes</code>, <code>5 UserComments</code>, or <code>300 UserDownloads</code>. The user interaction type should be one of the sub types of <a href=""http://schema.org/UserInteraction"">UserInteraction</a>.",Organization Place Person CreativeWork,Text
founders,Founders,A person who founded this organization.,Organization,Person
inAlbum,in Album,The album to which this recording belongs.,MusicRecording,MusicAlbum
cholesterolContent,Cholesterol Content,The number of milligrams of cholesterol.,NutritionInformation,Mass
albums,Albums,,MusicGroup,MusicAlbum
proteinContent,Protein Content,The number of grams of protein.,NutritionInformation,Mass
colleagues,Colleagues,A colleague of the person.,Person,Person
illustrator,Illustrator,The illustrator of the book.,Book,Person
performers,Performers,"The main performer or performers of the event—for example, a presenter, musician, or actor.",Event,Person Organization
lowPrice,Low Price,The lowest price of all offers available.,AggregateOffer,Number Text
bookFormat,Book Format,The format of the book.,Book,BookFormatType
longitude,Longitude,The longitude of a location. For example <code>-122.08585</code>.,GeoCoordinates,Number Text
reviews,Reviews,Review of the item.,Organization Product CreativeWork Place Offer,Review
ratingValue,Rating Value,The rating for the content.,Rating,Text
openingHours,Opening Hours,"The opening hours for a business. Opening hours can be specified as a weekly time range, starting with days, then times per day. Multiple days can be listed with commas ',' separating each day. Day or time ranges are specified using a hyphen '-'.<br />- Days are specified using the following two-letter combinations: <code>Mo</code>, <code>Tu</code>, <code>We</code>, <code>Th</code>, <code>Fr</code>, <code>Sa</code>, <code>Su</code>.<br />- Times are specified using 24:00 time. For example, 3pm is specified as <code>15:00</code>.<br />Here is an example: <code>&lt;time itemprop=""openingHours"" datetime=""Tu,Th 16:00-20:00""&gt;Tuesdays and Thursdays 4-8pm&lt;/time&gt;</code>",LocalBusiness CivicStructure,Duration
itemListElement,Item List Element,A single list item.,ItemList,Text
email,Email,Email address.,Organization ContactPoint Person,Text
regionsAllowed,Regions Allowed,"The regions where the media is allowed. If not specified, then it's assumed to be allowed everywhere. Specify the countries in <a href=""http://en.wikipedia.org/wiki/ISO_3166"" target=""new"">ISO 3166 format</a>.",MediaObject,Place
inLanguage,in Language,"The language of the content. please use one of the language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard.</a>",CreativeWork,Text
priceValidUntil,Price Valid Until,The date after which the price is no longer available.,Offer,Date
telephone,Telephone,The telephone number.,Organization ContactPoint Place Person,Text
