id,label,comment,ancestors,supertypes,subtypes,properties
ParkingFacility,Parking Facility,A parking lot or other parking facility.,Thing Place CivicStructure,CivicStructure,,
Attorney,Attorney,Professional service: Attorney.,Thing Organization LocalBusiness ProfessionalService,ProfessionalService,,
MovieTheater,Movie Theater,A movie theater.,Thing Organization LocalBusiness EntertainmentBusiness,CivicStructure EntertainmentBusiness,,
PublicSwimmingPool,Public Swimming Pool,A public swimming pool.,Thing Organization LocalBusiness SportsActivityLocation,SportsActivityLocation,,
PawnShop,Pawn Shop,A pawnstore.,Thing Organization LocalBusiness Store,Store,,
LandmarksOrHistoricalBuildings,Landmarks or Historical Buildings,An historical landmark or building.,Thing Place,Place,,
Cemetery,Cemetery,A graveyard.,Thing Place CivicStructure,CivicStructure,,
Waterfall,Waterfall,"A waterfall, like Niagara",Thing Place Landform BodyOfWater,BodyOfWater,,
TVSeason,TV Season,A TV season.,Thing CreativeWork,CreativeWork,,endDate episodes numberOfEpisodes partOfTVSeries seasonNumber startDate trailer
BankOrCreditUnion,Bank or Credit Union,Bank or credit union.,Thing Organization LocalBusiness FinancialService,FinancialService,,
Intangible,Intangible,"A utility class that serves as the umbrella for a number of 'intangible' things such as quantities, structured values, etc.",Thing,Thing,Enumeration Language Offer Quantity Rating StructuredValue,
VisualArtsEvent,Visual Arts Event,Event type: Visual arts event.,Thing Event,Event,,
School,School,A school.,Thing Organization EducationalOrganization,EducationalOrganization,,
Table,Table,A table on the page.,Thing CreativeWork WebPageElement,WebPageElement,,
UserLikes,User Likes,User interaction: Like an item.,Thing Event UserInteraction,UserInteraction,,
Hostel,Hostel,A hostel.,Thing Organization LocalBusiness LodgingBusiness,LodgingBusiness,,
LiteraryEvent,Literary Event,Event type: Literary event.,Thing Event,Event,,
BusStop,Bus Stop,A bus stop.,Thing Place CivicStructure,CivicStructure,,
